         1933 function calls in 6.734 seconds

   Ordered by: cumulative time
   List reduced from 233 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    6.500    6.500    6.734    6.734 C:\Users\joinm\Documents\fingerprint-fractal-dimension\app\fractal_dimension\delaunay_dimension.py:6(delaunay_dimension)
       20    0.130    0.007    0.130    0.007 {method 'astype' of 'numpy.ndarray' objects}
      101    0.073    0.001    0.073    0.001 {method 'reduce' of 'numpy.ufunc' objects}
       13    0.000    0.000    0.038    0.003 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:39(_amax)
        1    0.000    0.000    0.037    0.037 {method 'max' of 'numpy.ndarray' objects}
       13    0.000    0.000    0.033    0.003 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:43(_amin)
        1    0.000    0.000    0.032    0.032 {method 'min' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.014    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:321(mkstemp)
        1    0.011    0.011    0.011    0.011 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_shape_base_impl.py:625(column_stack)
       12    0.000    0.000    0.008    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:114(_sanitize_params)
       13    0.007    0.001    0.007    0.001 {built-in method nt.open}
       12    0.000    0.000    0.006    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:243(_mkstemp_inner)
       12    0.000    0.000    0.006    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:317(gettempdirb)
       12    0.000    0.000    0.006    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:301(_gettempdir)
        1    0.001    0.001    0.006    0.006 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:183(_get_default_tempdir)
       37    0.002    0.000    0.003    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\linalg\_linalg.py:2598(norm)
        1    0.000    0.000    0.003    0.003 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\function_base.py:311(geomspace)
        1    0.001    0.001    0.002    0.002 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\function_base.py:196(logspace)
       12    0.001    0.000    0.002    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:85(_infer_return_type)
        1    0.001    0.001    0.002    0.002 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:156(_candidate_tempdir_list)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:426(axis_nan_policy_wrapper)
       13    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       13    0.000    0.000    0.001    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:153(__next__)
      173    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       12    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        1    0.001    0.001    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\function_base.py:27(linspace)
       12    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.001    0.001 <frozen ntpath>:403(expandvars)
        3    0.000    0.000    0.001    0.000 <frozen os>:811(getenv)
        3    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
        5    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:2436(any)
        6    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:86(_wrapreduction_any_all)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
       12    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\ma\core.py:6669(isMaskedArray)
        2    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       13    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_stats_py.py:10394(linregress)
       14    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:55(_any)
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:45(_broadcast_arrays)


