         254101686 function calls in 219.222 seconds

   Ordered by: cumulative time
   List reduced from 157 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   59.404   59.404  219.221  219.221 C:\Users\joinm\Documents\fingerprint-fractal-dimension\app\fractal_dimension\box_counting_2d.py:32(box_counting_2d)
 50819034   20.649    0.000  138.925    0.000 {method 'any' of 'numpy.ndarray' objects}
 50819034   13.166    0.000  118.277    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:55(_any)
 50819048  105.111    0.000  105.111    0.000 {method 'reduce' of 'numpy.ufunc' objects}
101638070   20.851    0.000   20.851    0.000 {built-in method builtins.min}
        2    0.026    0.013    0.026    0.013 {method 'astype' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.011    0.011 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:426(axis_nan_policy_wrapper)
        1    0.002    0.002    0.004    0.004 C:\Users\joinm\Documents\fingerprint-fractal-dimension\app\fractal_dimension\box_counting_2d.py:5(_divisor_scales)
        1    0.000    0.000    0.002    0.002 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:45(_broadcast_arrays)
        1    0.000    0.000    0.002    0.002 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_stats_py.py:10394(linregress)
     2916    0.001    0.000    0.002    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.002    0.002 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3373(signature)
        3    0.001    0.000    0.002    0.001 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2487(_signature_from_callable)
        1    0.000    0.000    0.002    0.002 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3094(from_callable)
        3    0.000    0.000    0.001    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2383(_signature_from_function)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:62(_broadcast_shapes)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_function_base_impl.py:2674(cov)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\array_api_compat\common\_helpers.py:996(is_lazy_array)
     2970    0.001    0.000    0.001    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\app\fractal_dimension\box_counting_2d.py:27(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\_array_api.py:524(xp_promote)
        2    0.000    0.000    0.001    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\array_api_compat\numpy\_aliases.py:70(asarray)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_axis_nan_policy.py:206(_masked_arrays_2_sentinel_arrays)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:1331(getfullargspec)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        9    0.000    0.000    0.000    0.000 C:\Users\joinm\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2754(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:400(broadcast_to)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\_util.py:965(_get_nan)
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\array_api_extra\_delegation.py:34(atleast_nd)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\array_api_compat\common\_helpers.py:976(_is_lazy_cls)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:2436(any)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:373(_broadcast_to)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\lib\_function_base_impl.py:439(average)
        1    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\stats\_stats_py.py:1573(_get_pvalue)
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\scipy\_lib\_util.py:841(_contains_nan)
        3    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\_methods.py:115(_mean)
        4    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:86(_wrapreduction_any_all)
        2    0.000    0.000    0.000    0.000 C:\Users\joinm\Documents\fingerprint-fractal-dimension\env\Lib\site-packages\numpy\_core\fromnumeric.py:3699(mean)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}


